帕莎蒂娜驳二仓库餐厅 & 帕莎蒂娜烘焙坊,地址:高雄市盐埕区大勇路1号 ,5311106
藏寿司,地址:台中港路一段199巷1弄,
红酒乾杯,地址:台中市西屯区台湾大道三段301号13楼 ,22596767
真澄日本料理,地址:西屯区朝富路158号 ,22589268
北平烤鸭,地址:西区美村路一段214号 ,23022202
浓乡臭豆腐,地址:东区大智路89-1号,
轻井泽,地址:台中市南屯區文心南路58-1號,
湄南河泰式庭園餐廳,地址:台湾台中市南屯區龍富十五路36號 ,+886-4-23862678
有智老面店,地址:北区三民路三段67号 ,22245737
八方云集锅贴水饺专门店,地址:台中市西区公益路167号,
五十嵐,地址:台中市北區漢口路四段369-3號,
海港城平价海鲜,地址:梧栖区中正里文化路二段186、188号,
顺亿鲔鱼专卖店,地址:西区忠明南路122.124号 ,23266628
Texas Roadhouse,地址:台中市西屯區市政路581號之6 ,+886-4-22585395
太陽堂老店,地址:台中市中区自由路二段25号 ,+886-4-22200012
星巴克,地址:358台湾台中市北屯區中清路二段769號 ,+886 4 2426 3243
多多茶坊,地址:北区尊贤街38号 ,22270806
承记米苔目,地址:三民路二段第二市场内丙112,
Bistro88义法餐酒馆,地址:南屯区公益路88号 ,23209977
耕读园,地址:西屯区市政路109号 ,+886-4-22518388
御閣手作すし,地址:梅川東路四段68號 ,22342068
Kinber 金帛手制,地址:西區精誠五街14號 ,+886-4-23274780
南屯猪脚面线,地址:南屯区五权西路二段702号 ,23898177
阿月红茶冰,地址:北区一中街水利大楼前 ,22236393
水相餐厅,地址:西屯区惠中路一段 117 号,
岡崎,地址:404台湾台中市北區太平路31巷一號 ,+886-903512256
忠信市场,地址:西区五权西路一段67号,
葡萄树,地址:台中市龙井区新东村东园巷29号 (东海别墅) ,26312697
偈亭火锅,地址:西屯区福星北路29号 ,+886-4-24515167
小林煎饼,地址:清水区国道三号清水服务区,
大埔平价铁板烧,地址:台湾台中市西屯区河南路二段435号 ,24520085
双渔堂,地址:北区学士路194号 ,22373087
桃太郎,地址:西区民权路233巷12号 ,23013580
大和招待所创意料理,地址:西区台中市存中街15号 ,23712938
正老牌香菇肉羹,地址:中区绿川西街167号 ,422279569
新天地餐饮集团-北区旗舰店,地址:北屯区崇德五路345号 ,22438222
段纯贞牛肉面,"地址:中国,台中市,西区台湾大道二段459号14楼,403",
三时茶房,地址:太平路107巷11号 ,22251930
SONO园日本料理,地址:台湾台中市西区民权路229巷19号 ,23029393
吴记脆皮肉圆,地址:西屯区太原路一段494号 ,22082219
阿根早餐,地址:西区台中市西区美村路一段186号 ,24726407
超三代葱油饼,地址:西区公益路68号 ,0935770562
月亮虾饼,地址:西屯区文华路 ,0923519118
源记现宰台湾牛肉麵,地址:西屯區大墩路974號 ,+886-4-23284488
客家本色,地址:西屯区福科路520号 ,24635252
小麥所,地址:台中市西區博館東街31號 ,+886-4-23215580
祖传肉丸,地址:台中區雙十路一段中35-5號,
丰原庙东清水排骨酥面,地址:西屯区西屯路二段31号 ,23171637
王品牛排,地址:西屯区宁夏路233号 ,23136430
锅神日式涮涮锅,地址:台湾台中市西屯区福星北路31号 ,24523955
东海何妈妈冰店,地址:434台湾台中市龍井區臺灣大道五段3巷6弄28號、30號,
『台中-财神爷鲁肉饭』,地址:西屯区惠来路三段176号 ,0986823432
大肠包小肠创始店,地址:西屯区文华路20巷2号 ,23309949
赤脚丫生态农庄,地址:大雅区雅潭路三段500号,
康宝十全药炖排骨,地址:南屯区大墩路395号,
拾陌Shihmo,地址:台中市西屯區櫻城五街5號 ,23172109
台北江記麻辣臭豆腐,地址:西屯区文华路100号 ,0927570699
玛露连嫩仙草,地址:中区台湾大道一段255号 ,+886-22288359
汤圆之家,地址:西区林森路111号 ,0935-108-845
正忠排骨饭,地址:西区东兴路二段356号 ,24726998
陶板屋,地址:南区河南路二段363-3号2楼 ,24525755
禾雅堂经典乳酪蛋糕,地址:中港路一段143之1号 ,23280880
石井屋日本料理,地址:台中市西屯区文心路三段127号 ,23178808
春水堂人文茶馆,地址:南屯区文心南路289号2楼 ,+886-424735367
疯虾,地址:台中市西区五权西三街105-1号 ,23731100
猴吃鍋,地址:南屯區大墩十二街111號,
薄多义手工披萨,地址:台中市 南屯区公益路二段132号 408,
森森燒肉,地址:407台湾台中市西屯區台灣大道四段1316號,
50岚,地址:北区汉口路三段223号 ,22952282
茶汤会,地址:台中市台湾大道3段301号新光三越百货,
打铁豆花,地址:台中市西区精诚路155号 ,23265557
阳光吐司中西式早餐,地址:台中市中区双十路一段17-2号 ,22253832
永德堂饮料店,地址:南区忠孝路193号 ,22856513
蔷薇派 ROSE Pie,地址:北区三民路三段167号之1 ,+886-422239827
九鼎豆花,地址:南屯区永春南路130号 ,23802727
La Famille 法米法式甜点,地址:台中市南屯区文心南五路10号 ,24731863
匠屋烧肉,地址:西屯区朝富二街20号 ,22524758
稻鮨板前吞食,地址:西屯區福星路556號,
全海岸活虾之家,地址:台湾台中市南屯区大墩七街351号 ,23816070
迷客夏,地址:台中市北屯区山西路2段222-1号 ,22988768
老太阳堂,地址:台中市太平区永平路二段476巷66弄20号 ,22703556
上泓园,地址:西区博馆路155号 ,23269077
大甲芋仔城,地址:西屯区407文华路逢甲夜市内,
開飯川食堂,地址:西屯區台灣大道三段251號台中大远百,
开丼烧肉vs丼饭,地址:台中市 东区南京路76号 秀泰影城S1馆2楼 401,
肉多多,地址:西區向上路一段457號,
曾氏幸福卤味,地址:西区五权西二街18号 ,+886-4-23725518
酒号仓库NO9,地址:台中市西屯區朝馬三街,
古早味饭堂,地址:台湾台中市西区美村路一段85号 ,23292200
小六锅贴,地址:台中市西屯区华美西街236号 ,0911144801
仙园海鲜会馆,地址:北屯区环中东路二段288号,
台中勤美 貝里尼,地址:台中市西區公益路68號b1,
菇神,地址:新社区协成村协中街287号 ,25822548
清心福全冷饮站,地址:西屯区福星路596号 ,27081717
全國大飯店全壽樓,"地址:館前路57號3樓 西區, 台中市 403 Taiwan",
Hun 貳,"地址:No. 217-8 Wenhua Road,文华路217-8号,西屯区, 台中市 407,Taiwan",
清新温泉饭店-天地一家,地址:乌日区温泉路 2 号,
台南罗爌肉饭,地址:407台湾台中市西屯區市政路592號 ,+886-422589395
WOO TAIWAN,地址:台中市西屯區市政北二路18之1號4樓 ,+886-4-22528559
稞枓咖啡廚房,地址:台中市南屯區精誠路472號,
港町十三番地,地址:北屯区太原路三段725号之3 ,24371616
瓦城大心,地址:館前路,
雄爷鸡蛋糕,地址:西屯区文华路119号,
朴大哥的韩式炸鸡,地址:台中市西屯区西平里文华路127巷19号 ,988328178
定食8,地址:台中市南区文心路一段521号1F<文心家乐福1F> ,22522112
吉事手作熱狗,地址:台中市西屯區逢甲路20巷26-1號 ,+886-931626677
东山鸭头,地址:西区一中街与育才南街交叉口,
有囍拉面,地址:台中市中區中山路82號,
好食慢慢,地址:台中市北区东汉街11号 ,+886-4-22372009
侨园大饭店,地址:西屯区惠中路一段111号 ,22551111
Mo Mo Paradise,地址:复兴路4段186号太鲁阁新时代4F ,+886-4-22256538
牛角日本烧肉专门店,地址:東區南京路76號S1館2楼 ,+886-4-22152502
正忠排骨饭,地址:南屯区向上路二段432-7号 ,23810028
礼来居素食手打乌龙面馆,地址:西屯区福林路10号 ,24633592
星月大地景观餐厅,地址:台中市后里区月眉北路486号 ,+886-4-26831671
JL Studio 現代新加坡料理,地址:408台中市南屯區益豐路四段689號 ,+886-4-23803570
乡村鹅厨房,地址:西区存中街19号 ,23731558
金砖极品牛排餐厅,地址:西屯区惠中路二段57号 ,22583979
家溫度湯專門店2店草悟店,"地址:No. 5, Lane 149, Section 1, Meicun Road,美村路一段149巷5号,西区, 台中市 403,Taiwan",
雅风筑云,地址:北屯区东山路一段377之26号 ,22399900
鸟居夜景咖啡,地址:沙鹿区静宜大学与弘光科大中间的莱尔富旁巷子进去,
大黑屋,地址:台中市西屯区逢甲路20巷49号 ,0987661773
掌门精酿啤酒,"地址:中国,台中市,西区台湾大道二段490号,40353",
小野食堂,地址:台中 ,4-23270810
一桶韩式新食,地址:台湾地区臺中市西屯区三段166～60号,
正老牌面线糊,地址:合作街70-2号 ,22879468
龙涎居鸡膳食坊,地址:西区福星路405号 ,24518283
阿嬷a相思面店,地址:台中市中区三民路二段87号 ,22226621
乐雅乐家庭餐厅,地址:乌日区台中市乌日区站区2路8号 ,36015005
茶六烧肉堂,地址:403台湾台中市西區公益路268號 ,+886-4-23281167
猫门,地址:408台湾台中市南屯區建功南七巷2號 ,+886-4-23822216
黄家黑砂糖剉冰,地址:南屯区黎明路二段234号 ,23805248
俊美食品,地址:南屯区大墩七街188号 ,24713779
香港金宝茶餐厅,地址:南屯区大业路201号 ,23285459
后庄老店爌肉饭排骨饭,地址:北屯区后庄路1号,
寶麗金寶軒樓,地址:台中市北屯區崇德二路345號,
清水社口海产,地址:台中市清水区海滨路89-1号 ,26231450
湖南味,地址:北区精武路250号 ,+886-4-22122755
丰仁冰,地址:西屯区青海路一段90号 ,22257611
卡司復合式餐廳  KATZ Fusion Restaurant,地址:西區精誠五街4號 ,+886-4-423267355
千味海鲜餐厅,地址:南区文心南五路326之3号 ,04-2473-2373
超吉饭桶,地址:台中市中区中正路25号,
狐狸丼,地址:西屯區福上巷271號,
面哥面嫂切仔面,地址:西区向上南路一段218号 ,0920498088
老豆府,地址:西屯區東興路三段299號,
一心素食,地址:西屯区407文华路逢甲夜市内,
林信一福堂,地址:东区复兴路四段85号 ,22236675
感傷唱片行,地址:台中市美村路一段564巷12號,
吕记正宗冈山羊肉,地址:西区公益路184号 ,23271265
目觉咖啡二店,地址:西屯区大恩街8号 ,23102616
堅果小巷,地址:403台湾台中市西區大仁街33號,
趸泰食品,地址:大甲区通天路225号 ,+886-4-26817913
三佳早餐,地址:中区权路80巷2号,
广味烧腊快餐店,地址:西区中美街334号 ,23058388
FRajo,地址:台中市南屯区公益路二段1号 ,23292285
水舞馔,地址:北屯区崇德路二段50号 ,22368989
梨子咖啡馆,地址:玉门路370巷28号 ,24610399
THE CAF’E BY 想 台中,地址:台中市南屯區惠中路二段146號 ,4-22516155
星巴克,地址:西区公益路68号 ,23264692
老舅家乡味酸菜白肉锅,地址:东区忠孝路282号 ,+886-4-22802888
秋本牛排馆,地址:西屯区文华路2-5号 ,24528008
黑桥牌,地址:中区自由路二段34号 ,22294762
亚维农庄园料理,地址:南区五权南路100号,
蚵仔粥专卖店,地址:西区乐群街80号 ,23727798
多那之咖啡蛋糕烘焙,地址:东区台中路43号 ,2221-0909
吃东西,地址:西屯區精明二街46號 ,+886-4-0953555678
一中街 阿ㄆㄧㄚˋ卤味,地址:台中市北区三民路三段129号,
一膳食堂 ichizen,地址:台中市西区健行路1041号 ,23262013
宝泉食品,地址:丰原区中正路154号 ,25223077
石二锅,地址:西屯区西屯路三段285号 ,24613839
法雅食品有限公司,地址:407台湾台中市西屯區文心路三段357號,
丸作食茶,地址:福星路,
大祥串烤海鲜屋,地址:西屯区汉口路一段47号 ,+886-4-23121067
红巢烧肉工房,地址:西屯区惠中路一段117号 ,22590089
川子麵線,地址:中區中山路26號 ,+886-0900193636
泽村餐厅,地址:中区民族路200号 ,22240000
黑肉面,地址:西区美村路一段462号 ,23725838
锅将日式涮涮锅,地址:西区明义街59号 ,23288399
逢甲心蛋饼,地址:台中市西屯区逢甲路26号 ,0986148227
粥堂,地址:南屯區文心路一段412號 ,+886-4-23264413
高家意面,地址:中区绿川西街171号 ,22212813
陶板屋,地址:北屯区崇德路二段130号2楼 ,22365586
乳牛牧场户外碳烤,地址:沙鹿区中栖路5号旁 ,26330128
拾七石頭火鍋,地址:屯區崇德路三段201號,
BOWL FAST SLOW FOOD,地址:臺中市西區中興四巷10號,
三重埔米粉汤,地址:台中市南屯区永春东路1521之1号,
萬客什鍋,地址:404台湾台中市北區崇德路一段479號,
九日味噌烧肉丼专门店,地址:台中市北区博馆路36号 ,22032499
备长炭串料理御三家,地址:西区精诚六街25号 ,23292892
Cherry Espresso,地址:西屯區西屯路二段270巷一號 ,+886-4-27060111
醜比頭森林鍋物,地址:西屯區玉成路12號,
东记傻瓜面,地址:北區育才北路13號,
Jerry’s House,地址:南屯區惠中路二段152號,
L.Z. Dessart 无框架甜点,地址:403台湾台中市西區中興街183號 ,+886-4-23026865
三妈臭臭锅,地址:西区明义街3号 ,23295171
拾七石头火锅,地址:408台湾台中市南屯區永春東七路855號 ,+886-4-23862147
瓦城泰国料理,地址:台湾大道三段301号10F,
东方龙中华真味料理,地址:南屯区公益路二段271-1号 ,22523366
B&C Bakery,地址:中区九德路34路街3-1 ,2452361
50岚,"地址:民權路59號 西區, 台中市 403 Taiwan ",+886 4 22293555
笨猪跳,地址:西屯区朝富路 38 号,
胖达咖啡轻食馆,地址:台湾台中市南屯区大墩四街142号 ,24717917
金苑茶餐厅,地址:西区公益路147号 ,2255-7942
异料理,地址:台中市西区英才路532号28楼,
小南法餐厅,地址:民芳里芳庭路1号(心之芳庭內),
必胜客,"地址:黎明路二段482號 南屯區, 台中市 408 Taiwan ",+886 4 22532000
Lady lobster,地址:台中市南屯区永春东七路498号 ,+886-4-706688
中侨花园饭店,地址:西屯区台中港路二段81号 ,4-22558888
新金树,地址:丰原区府前街66号 ,25266835
法雅faya ice,地址:西屯区福星路269号 ,273522
做咖啡Hecho 2,"地址:中国,台中市,西区美村路一段149巷12号,403",
颜记肉包,地址:中区三民路二段103号 ,22253234
胖子鸡排,地址:中区一中街20号 ,22237229
星巴克,地址:西屯区市政路585号,
石庭兼六园日本料理,地址:西屯區河南路四段183號 ,+886-4-22584855
花月岚拉面,地址:台湾台中市西屯区台中港路二段111号12楼 ,22548555
蜜滋麻美,地址:404台湾台中市北區育才街25號,
犁记饼店,地址:台中市中清路一段788号 ,+886-22950079
卡帝,地址:台中市中区台湾大道一段35号 ,+886-4-22235521
阿水师老店,地址:中区中华路一段99-1号前 ,0986552413
康宝药膳养生,地址:台中市西屯區西屯路二段272-12號 ,+886-4-24529145
古典玫瑰园,地址:龙井区艺术街39巷7号 ,26321212
黄金左腿,地址:台中市西屯区文华路12之9号 ,917179751
老王菜头粿,地址:中区第二市场中门入口 ,22242318
争鲜回转寿司,地址:东区复兴路四段186号B1 ,22207029
清真恩德元饺子馆,地址:南屯区文心路一段200号 ,24717240
時時香Rice Bar,地址:西屯區台灣大道三段301號9樓 ,0422597718
东海龙门客栈美食,地址:龙井区新兴路1巷19号 ,26312792
香港金宝茶餐厅,地址:台湾台中市北区馆前路23号 ,23268511
金子半之助,地址:西屯區台灣大道三段301號,
重庆餐厅,地址:文心路四段123号 ,22959272
丸亀制面,地址:台中市中区台湾大道一段138号1楼,
红豆饼,地址:西屯区西屯路二段252号,
菊园日本料理,地址:台湾台中市大里区德芳南路450号 ,24862118
那個鍋,"地址:西屯路二段259-6號 西屯區, 台中市 407 Taiwan",
Mr.38,地址:西屯区至善路212号 ,24528188
Mo Mo Paradise,地址:台湾台中市西区公益路68号B1 ,423288228
迷你一口臭豆腐,地址:台中市北区一中街20号 ,22236068
城市部落原住民风味餐厅,地址:西屯区青海路二段568号,
小胖薏仁汤,地址:台中市西屯区福星路381号前 ,24516933
南瓜屋纽奥良义式餐馆,地址:西区五权西四街108号 ,23728456
卡啡那,地址:南屯區大墩路573號,
星巴克,地址:乌日区站区二路8号2F ,36017906
东海刈包大王,地址:西屯区逢甲路20巷26号 ,24520076
杨妈妈立食,地址:中区三民路二段第二市场内33-35号 ,22222610
继光香香鸡,地址:北区一中街41号 ,22237837
麦当劳,地址:西屯区福星路427号1楼 ,+886-24513592
今日蜜麻花,地址:西区中兴街7巷12号 ,23052099
翁记剥骨鹅肉,地址:西区向上路一段99号 ,23059865
台中日月千禧-飨乐全日餐厅,地址:台湾台中市西屯区市政路77号 ,39008899
瑞穗臭豆腐,地址:东区自由路三段151号 ,22113042
豆子,地址:龙井区新兴路1巷23号 ,25319359
天天馒头,地址:中区中正路182巷 ,22250868
万客什锅,地址:西屯區青海路二段246-15號,
品虹桥餐厅沪川美馔,地址:西区五权西三街95号,
泰缅阿嬷吃ㄟ乾妈店,地址:403台湾台中市西區健行路1037號 2F ,+886-4-23193639
正兆蚵仔煎,地址:丰原区中正路167巷3号 ,25239235
梧栖渔港,地址:县清水镇海滨里北堤路30号,
水货炭火烤鱼,地址:台中市西區公益路168號,
三代炒面,地址:中区中华路一段夜市 ,0933450261
香帅海鲜餐厅,地址:大雅区雅环路一段238号 ,25688144
滷味王,地址:北区一中街,
东兴市鲁肉义,地址:北区汉口路四段88号 ,22970450
翰記雞汁燒烤杏鮑菇,地址:台湾台中市北區育才街27號,
好小子担仔面,地址:西屯区大墩路971号 ,23270449
85°C,地址:中区成功路152号 ,22231177
斜角巷飲料,地址:404台湾台中市北區健行路554號,
入口鬆餅,地址:台中市西屯區漢成六街51號 ,23157518
小林牛肉面,地址:台湾台中市北屯区北平路三段75之1号 ,22317077
八方云集锅贴水饺专门店,地址:西屯区福星路349号 ,24519471
好家木瓜牛奶,地址:一中街,
胜博殿,地址:西屯区台中港路二段111号9楼 ,22552368
花枝烧,地址:逢甲夜市,
北回木瓜牛奶,地址:北屯区昌平路一段332号 ,22436757
宪卖咖啡,地址:南屯区东兴路三段229号 ,23202696
山东饺子牛肉面馆,地址:西区公益路一段96号 ,23215955
霸味姜母鸭,地址:北区三民路三段356号 ,22313356
50岚,地址:东区大智路25号 ,22200233
大江户町,地址:台中市南屯区文心南二路1号2楼 ,24719198
檀岛香港茶餐厅,地址:台中市台灣大道三段301號新光三越台中中港店负一楼 ,+886-4-36099033
陈家牛乳大王,地址:台中市中區中華路一段121號,
迈泉猪排,地址:407台湾台中市西屯區台灣大道三段301號,
丁山肉圆,地址:中区台湾大道一段370号 ,22264409
醉鸳鸯啤酒庭园广场,地址:南屯区公益路二段266号 ,22513966
美軍豆乳冰,"地址:No.380-2 Minsheng Road 民生路380-2号 西区, 台中市 403 Taiwan",
桦达奶茶,地址:地址： 407台湾台中市西屯区台湾大道三段251号大远百12楼,
上澄锅物,地址:台中市中区自由路二段94号2楼 ,22292227
阿仁羊肉焿,地址:中区继光街138号 ,22290556
陈妈妈四季凉补,地址:西屯区逢甲路20巷28弄1号 ,0915211267
瞒着爹,地址:台中市精誠九街23號,
乐轩,地址:南屯区惠文路328号 ,+886-4-23828982
李海鲁肉饭,地址:台中市北区原子街125-10号,
台中牛排馆&元太祖蒙古烤肉,地址:西屯区西屯路三段299号 ,+886-24652121
老大薯条,地址:西屯區慶和街75號,
霸味姜母鸭,地址:台中市西屯区文心路3段560号 ,23123636
半月烧馅饼专卖店,地址:台中市北区育才南街31号 ,36080300
帝一碳烧姜母鸭,地址:大雅区中清路二段36-1号 ,25688542
原饌鐵板燒,"地址:文心路三段1047號 Beitun District, 台中市 406 Taiwan ",+886 4 22985578
Mr.38,地址:北区一中街109号 ,22230866
金悦轩,地址:南屯區公益路二段213號 ,22557942
陈明统爌肉饭,地址:台湾台中市东区忠孝路304号 ,22812407
逢甲海陆大丸,地址:台中市西屯区逢甲路20巷26号 ,0921226803
Bake Cheese Tart,地址:西屯區台灣大道三段301號,
王印制面麻辣乾面,地址:北区太平路65号之1,
火焰骰子牛,地址:文華路,
高林铁板烧,地址:西区健行路1006号 ,23231716
台湾铁路便当,地址:沙鹿区沙田路204号 ,26626709
凯恩斯岩烧餐厅,地址:北屯区崇德路二段140号1楼 ,22318924
大庆面店,地址:401台湾台中市東區復興路四段160號,
风尚人文咖啡馆,地址:南区忠明南路1118号之8 ,22610999
蔡家豆花,地址:南区忠孝路111号 ,22855684
hot 7新铁板料理,地址:西区健行路1049号3楼 ,2328-6331
万客什锅,地址:台中市北区汉口路四段16号 ,22927574
三喜蛋饼,地址:北区太平路58號,
牛老总牛肉店,地址:西区台中港路一段50号1楼 ,22078678
城里城外巫山烤魚,地址:西區美村路一段211號,
圆石禅饮,地址:西屯区文华路121-11号,
mamak檔星傌料理,地址:台中市西區中興街130號,
5路清蒸虾仁肉圆,地址:西屯区庆和街99号 ,0931-630-931
K2 小蜗牛厨房,地址:文心路二段213号2楼 ,22518862
红烧当归鸭,地址:西屯区文华路5巷6号,
不设限食饮空间,地址:西区五权西二街98号 ,23782029
御馔臻品,地址:南屯区黎明路二段462-1号 ,22588086
雅园新潮,地址:南屯区大墩南路238号 ,4-24753568
瑚同烧肉夜食,地址:台中市西屯区东兴路三段366号 ,23285757
日本飛驒高山拉麵,"地址:中正路19號 中區, 台中市 400 Taiwan",
一笈寿司,地址:408台湾台中市南屯区公益路二段25号,
丰收王国免剥壳虾活虾现烤,地址:台中市西屯区文华路25-8号 ,975717627
金树凤梨冰,地址:台中市丰原区中正路167巷2-13号 ,25243985
Come True coffee,地址:403台湾台中市西區民生路368巷5號,
九六素食餐厅,地址:中区建国路159巷21号 ,22267996
杏子日式猪排,地址:忠明里台湾大道二段广三SOGO,
小僵尸棺材板,地址:北区一中街水利大楼前,
朱记馅饼粥,地址:台中市西屯區台灣大道三段251號12樓,
顶园烧鹅担仔厨房,"地址:中国,台中市,西屯区安和路121-1 9号,407",
高美手扒鸡,地址:436台湾台中市清水區高美路789號,
正老牌香菇肉羹,地址:台中市中区复兴路四段79号,
永丰栈阿利海鲜,地址:西屯区中港路二段9号,
潍克早午餐,地址:404台湾台中市北區德化街537號 ,+886-4-22036228
月亮屋月亮虾饼,地址:西屯区逢甲路20巷内,
隽永邨,地址:台中市西屯区河南路二段500号之8 ,+886-27018068
台中牛排館,地址:崇德路 ,23456784
创意时尚饭店,地址:五权路334号,
珍煮丹,地址:407台湾台中市西屯區西平里福星路361號 ,+886-4-245521811
福胜亭,地址:台湾台中市中区台湾大道一段52号 ,22233422
丸亿生鱼片,地址:北屯区辽宁路一段376号 ,0931606776
鱼刺人鸡蛋糕,地址:台中市西区五权一街68号 ,0970881707
臺中市役所,地址:西區民權路97號,
乍牛,地址:407台湾台中市西屯區惠來路二段13號,
茶汤会,地址:台中市西区公益路68号B1,
高雄海产粥,地址:400台湾台中市中區大誠街92號,
五十嵐,地址:青海路一段152號 ,+886-4-23155088
海盗饭团,地址:北区三民路三段136-6号,
山本堂日式拉面,地址:台中市东区复兴路四段132号 ,+886-4-22206193
MOS Burger,地址:乌日区站区二路8号 ,36009039
Mister Donut,地址:西屯区台中港路二段111号12F/B2,
50岚,地址:北屯區崇德路二段289號 ,+886-4-22463233
开源社,地址:西屯区文华路1-2号 ,953397160
丸满食物所,地址:西區五權西三街11號,
板前燒肉,地址:中區民族路227號 ,+886-4-22275353
兔子洞甜点工作室,地址:公馆里五权西一街127号 ,23750388
迷客夏milkshop,地址:進化路546號 ,22313111
米提尔 Mitir,地址:北屯区大连路二段26号1楼 ,22471036
立伟面食,地址:中区三民路二段87号 ,22239367
三峡老街蚵仔面线,地址:南屯区大墩路352号 ,24732109
巧遇農情,地址:413台湾台中市霧峰區和平路2-4號 ,+886-4-928922242
小次男咖哩所,地址:中區成功路156號,
清一色牛肉面,地址:台中市龙井区台湾大道3巷62弄9号 ,26338633
阿奇海產店,"地址:民生路158號 西區, 台中市 403 Taiwan ",+886 4 22220717
嘉宾平价铁板烧,"地址:大連路一段12號 Beitun District, 台中市 406 Taiwan ",+886 4 22956890
鱻屋,地址:西区精诚路10号,
大富豪铁板烧,地址:西区英才路593号 ,23717338
裕珍馨食品,地址:大甲区蒋公路131号 ,26861759
長榮桂冠酒店點心坊,"地址:台灣大道二段666號 西屯區, 台中市 407 Taiwan",
蛋黃哥五星主廚餐廳,地址:台中市西屯區玉寶路145號,
来来平价海产,地址:台中市梧栖区草湳里梧南路155之5号 ,26579628
徐大姊炸香香,地址:南区忠孝路181号 ,04-2485-3171
三妈臭臭锅,地址:沙鹿区北势东路518号 ,26325171
万月楼,地址:南区五权西一街63号 ,23781311
台铁便当,地址:台湾大道一段1号,
逢甲脆皮爆浆鸡腿卷,地址:西屯区文华路63号,
三田制面所,地址:北区三民路三段161号,
台中肉焿,地址:南屯区忠勇路21之19,
俺达的烧肉屋,地址:台中市公益路192-1號,
水竹寿司,地址:南屯区永春东路479号 ,24739759
松香爌肉饭,地址:台中市西区美村路一段167号 ,939677092
小巷子豆花,地址:台中市龙井区艺术街61巷3-5号,
可不可熟成红茶,地址:北區一中街25號 ,+886-4-37073127
一膳ichizen,地址:台中市西屯区市政路480号B1 ,+886-4-22583280
丰原肉圆,地址:台中市西区中兴街173号 ,23014762
黑盒子蛋包飯專賣店,"地址:逢甲路20巷28弄17號 西屯區, 台中市 407 Taiwan ",+886 9 77028732
沐越越式料理,地址:403台湾台中市西區公益路152之1號 ,+886-4-23262388
屋马烧肉,地址:07台湾台中市西屯區台灣大道三段300號,
百分百,地址:南屯区黎明路二段210号 ,23863607
忠勇面线,地址:忠勇路26号 ,23805076
天味早餐,地址:西区健行路1029號 ,+886-4-23267898
小弄拉面,地址:台中市西區昇平街143號,
OKLAO 欧客佬咖啡农场,地址:北区太原路二段306-1号 ,22350488
裕珍馨,地址:广三SOGO15楼 ,23283259
三姨素食,地址:台中市美村路二段51號,
匠培咖啡館,地址:435台湾台中市西屯区东海路51号 ,+886-4-23501381
日出乳酪蛋糕,地址:台湾中区中山路20号 ,22231518
小A起司洋芋,地址:文华路43号对面 ,0920168230
响寿司,地址:西屯区市政路99号 ,22553833
仁义牛肉面,地址:中区民权路175之1号,
竹间精致锅物-崇德旗艦店,"地址:455 崇徳九路 仁和里 Beitun 台中, 台湾 406",
臭哥哥香酥臭豆腐,地址:台中市北区一中街,
廟東清蒸蝦仁肉丸魚翅螃蟹焿,"地址:豐原廟東夜市內 豐原區, 台中市 420 Taiwan ",+886 9 23603307
顶园烧鹅厨房,地址:台湾大道二段广三SOGO内,
50岚,地址:中区公园路28号 ,22237886
樂室,地址:台中市西區中興里中興街79號 ,+886-423028879
非常棧港式海鮮餐廳,"地址:東興路二段150號 南屯區, 台中市 408 Taiwan ",+886 4 24732799
BABOQ,地址:逢甲路20巷36號 ,4-22175080
蔷薇派 ROSE Pie,地址:丰原区信义街132号 ,25235110
Tamp Temper taichung coffee,"地址:286號, 西区, 民權路台中市台湾 403",
精武路大腸蚵仔麵線,地址:401台中市東區精武路281號 ,+886-4-22131610
提督府牛肉面,地址:大里区国光路一段9号 ,24066800
Lingo’s,地址:西屯區黎明路二段891號 ,4-22582223
蔬果小珠珠,地址:台中市西屯區文華路9-10號 ,24513330
50岚,地址:太平区中山路四段208号 ,23953980
萨克斯风玩家馆音乐主题餐厅,地址:后里区大圳路473-2号 ,25572323
沪舍余味餐馆,地址:南屯区公益路二段537号 ,22586111
尼克咖啡,地址:西区美村路一段575号 ,23783161
Kitto Boutique Taichung,地址:西區大忠街70號,
三轮车关东煮,地址:北区公园路与民权路交叉口,
拉波儿面包,地址:北区大雅路143号 ,22068066
康家阿妈ㄟ粉肠香肠,地址:大甲区蒋公路和育德路十字路口 ,0910597631
养鸡场,地址:西屯区西安街167号 ,27011981
桥。咖啡 bridge cafè,地址:台中市北区新街56、58号,
一风堂,地址:西屯區台灣大道三段301號9樓,
La Petite Tarte 乐缇波儿手作塔派,地址:台中市南屯区永春东路125号 ,24756899
窝巷,地址:西區大全街1號,
松鹤拉面,地址:台中市西屯区福星路328号 ,24524767
阳光盒子,地址:台中市寧夏路112號,
霸味羊肉炉,地址:西屯区福科路219号,
东光市场,地址:北屯區北平路四段68號,
非常泰概念坊,地址:中区台中港路二段105号11F ,36095050
偷偷,地址:台湾台中市西區精誠二街5號 ,+886-4-23018102
豆腐村,地址:台中市台灣大道三段251號12樓,
爱尔兰疯薯,地址:清水区吴厝里7邻东山路145号 ,22432423
异乡人咖哩,地址:西区向上北路165号 ,23019273
Top City台中大远百大食代,地址:台中市西屯区台湾大道三段251号12楼 ,22542337
